Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Vladislav Gavrikov, Healthy, LA, D, FA, @Edm, L 2-4, 1, 0, 0, -3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 1.0
Mason Lohrei, Healthy, Bos, D, FA, @Sea, L 3-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0
Ty Dellandrea, Healthy, Dal, RW- C, FA, NYI, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 1, 1, 1.0
Pierrick Dube, Healthy, Wsh, RW, FA, Ott, W 6-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 1.0
Warren Foegele, Healthy, Edm, LW- RW, FA, LA, W 4-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1.0
Miro Heiskanen, Healthy, Dal, D, LKR, NYI, L 2-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0.9
Brett Kulak, Healthy, Edm, D, FA, LA, W 4-2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.9
Blake Lizotte, Healthy, LA, C, FA, @Edm, L 2-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0.9
Jaret Anderson-Dolan, Healthy, Nsh, C- RW, FA, --, --, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0.9
Anders Lee, Healthy, NYI, LW- C, FA, @Dal, W 3-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0.8
Brandon Carlo, Healthy, Bos, D, FA, @Sea, L 3-4, 1, 0, 0, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.8
Derek Ryan, Healthy, Edm, RW- C, FA, LA, W 4-2, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 1, 2, 0.8
Ridly Greig, Healthy, Ott, C- LW, FA, @Wsh, L 3-6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0.8
Brock Nelson, Healthy, NYI, C, FA, @Dal, W 3-2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0.7
Justin Brazeau, Healthy, Bos, RW, FA, @Sea, L 3-4, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0.6
Jake Sanderson, Healthy, Ott, D, FA, @Wsh, L 3-6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.6
Mathieu Joseph, Healthy, Ott, LW- RW, FA, @Wsh, L 3-6, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0.6
Sam Steel, Healthy, Dal, C, FA, NYI, L 2-3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 5, 0, 3, 3, 0, 0.6
Jamie Benn, Healthy, Dal, LW, OXP, NYI, L 2-3, 1, 0, 0, -2, 0, 0, 0, 0, 0, 0, 4, 3, 0, 3, 2, 1, 0.5
Mason Marchment, Healthy, Dal, LW, FA, NYI, L 2-3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5
Brandon Tanev, Healthy, Sea, LW, FA, Bos, W 4-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.5
Derrick Pouliot, Healthy, Dal, D, FA, NYI, L 2-3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0.5
Trevor Lewis, Healthy, LA, C, FA, @Edm, L 2-4, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0.5
Dylan Strome, Healthy, Wsh, C, FA, Ott, W 6-3, 1, 0, 1, -3, 0, 0, 1, 0, 0, 0, 8, 7, 0, 1, 0, 0, 0.45
