Name, Health, NHL Team, Position, GFHL Team, GS, W, L, GA, SV, SO, FPTS
Tuukka Rask, Healthy, Bos, G, FA, --, --, --, --, --, --, --
Malcolm Subban, Healthy, Buf, G, FA, --, --, --, --, --, --, --
Mike Smith, O, Edm, G, FA, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Braden Holtby, O, Dal, G, FA, --, --, --, --, --, --, --
Pekka Rinne, Healthy, Nsh, G, FA, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, --, --, --, --, --, --, --
Devan Dubnyk, Healthy, Col, G, FA, --, --, --, --, --, --, --
Chris Driedger, IR, Sea, G, FA, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Van, G, FA, --, --, --, --, --, --, --
Ryan Miller, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Jonathan Bernier, IR, NJ, G, FA, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Christopher Gibson, Healthy, Sea, G, FA, --, --, --, --, --, --, --
Cory Schneider, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Curtis McElhinney, Healthy, TB, G, FA, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, --, --, --, --, --, --, --
Troy Grosenick, Healthy, Phi, G, FA, --, --, --, --, --, --, --
Adam Huska, Healthy, NYR, G, FA, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Maxime Lagace, Healthy, TB, G, FA, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Harri Sateri, Healthy, Ari, G, FA, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, --, --, --, --, --, --, --
Hunter Miska, Healthy, Col, G, FA, --, --, --, --, --, --, --
Kenneth Appleby, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Veini Vehvilainen, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, --, --, --, --, --, --, --
Artyom Zagidulin, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Josef Korenar, Healthy, Ari, G, FA, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, --, --, --, --, --, --, --
Danny Taylor, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Car, G, FA, --, --, --, --, --, --, --
Niklas Svedberg, Healthy, Min, G, FA, --, --, --, --, --, --, --
Jeff Glass, Healthy, Chi, G, FA, --, --, --, --, --, --, --
Michael Houser, Healthy, Buf, G, FA, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, Cls, G, FA, --, --, --, --, --, --, --
Tom Hodges, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Oscar Dansk, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Shane Starrett, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Jared Coreau, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Kevin Boyle, Healthy, Det, G, FA, --, --, --, --, --, --, --
Marcus Hogberg, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Michael McNiven, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Kaden Fulcher, Healthy, Det, G, FA, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Landon Bow, Healthy, Dal, G, FA, --, --, --, --, --, --, --
Zane McIntyre, Healthy, Min, G, FA, --, --, --, --, --, --, --
Olle Eriksson Ek, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, 1, 0, 1, 6, 22, 0, -1.8
