Name, Health, NHL Team, Position, GFHL Team, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Matt Duchene, O, Nsh, C- RW, FA, 71, 22, 34, 4, 32, 5, 8, 0, 0, 3, 137, 122, 0, 168, 27, 32, 143.7
Pavel Zacha, Healthy, Bos, C- LW- RW, FA, 77, 18, 35, 26, 16, 2, 5, 0, 1, 2, 99, 125, 0, 121, 64, 20, 143.6
Robert Thomas, DTD, StL, C- RW, ME, 70, 17, 46, -6, 22, 5, 16, 1, 0, 2, 616, 546, 0, 101, 15, 29, 143.4
Seth Jones, Healthy, Chi, D, BOWS, 66, 10, 23, -36, 28, 1, 9, 0, 1, 1, 0, 0, 0, 164, 98, 118, 143.0
Justin Holl, Healthy, Tor, D, FA, 74, 2, 15, 15, 39, 0, 0, 0, 0, 1, 0, 0, 0, 56, 137, 130, 142.8
Martin Fehervary, Healthy, Wsh, D, DINK, 62, 6, 9, -9, 29, 0, 0, 0, 0, 1, 0, 0, 0, 84, 203, 107, 141.9
Jack McBain, Healthy, Ari, C, FA, 77, 11, 12, -6, 55, 0, 0, 0, 0, 2, 343, 433, 0, 81, 281, 50, 141.9
Tyler Seguin, Healthy, Dal, C- RW, BOWS, 70, 19, 26, 1, 24, 6, 2, 1, 1, 3, 444, 375, 0, 172, 78, 22, 141.85
Nick Jensen, Healthy, Wsh, D, FA, 72, 4, 22, -1, 18, 0, 0, 0, 1, 0, 0, 0, 0, 102, 104, 122, 141.85
Braden Schneider, Healthy, NYR, D, FA, 76, 5, 12, 9, 11, 0, 0, 0, 0, 1, 0, 0, 0, 74, 137, 121, 141.4
Brandon Carlo, Healthy, Bos, D, FA, 70, 3, 12, 39, 38, 0, 0, 0, 2, 0, 0, 0, 0, 84, 119, 112, 141.3
Nino Niederreiter, Healthy, Wpg, RW- LW, FA, 73, 24, 14, -14, 20, 4, 3, 0, 0, 2, 7, 5, 0, 169, 151, 28, 141.15
Erik Haula, Healthy, NJ, LW- C, FA, 77, 11, 25, 9, 47, 2, 5, 2, 0, 0, 552, 462, 0, 155, 90, 52, 141.05
Colton Sissons, Healthy, Nsh, C- RW, DINK, 75, 12, 16, 3, 18, 0, 1, 1, 0, 1, 525, 458, 0, 76, 152, 62, 140.85
Filip Hronek, O, Van, D, OXP, 64, 9, 30, 6, 34, 4, 12, 0, 0, 1, 0, 0, 0, 124, 102, 58, 140.6
Matt Martin, Healthy, NYI, LW, FA, 77, 7, 12, 2, 63, 0, 0, 0, 0, 1, 9, 18, 0, 77, 285, 41, 140.5
Blake Wheeler, Healthy, Wpg, RW- C, FA, 68, 16, 38, -4, 42, 7, 8, 0, 0, 6, 49, 47, 1, 123, 50, 33, 140.3
J.J. Moser, Healthy, Ari, D, FA, 77, 7, 22, -9, 33, 3, 8, 0, 0, 1, 0, 0, 0, 84, 75, 130, 139.6
Rasmus Sandin, Healthy, Wsh, D, CLB, 66, 5, 28, 4, 30, 0, 11, 0, 0, 0, 0, 0, 0, 73, 135, 74, 138.55
Michael Bunting, Healthy, Tor, LW, BOWS, 76, 22, 25, 23, 92, 6, 3, 0, 0, 4, 1, 1, 0, 155, 75, 17, 138.05
Johnny Gaudreau, Healthy, Cls, LW, BOWS, 74, 19, 52, -32, 22, 3, 20, 0, 0, 3, 0, 0, 0, 201, 5, 18, 137.9
Frank Vatrano, Healthy, Ana, LW- RW, FA, 76, 20, 19, -27, 54, 5, 4, 0, 0, 1, 7, 10, 1, 215, 82, 72, 137.9
Trevor van Riemsdyk, O, Wsh, D, FA, 75, 7, 16, 10, 15, 0, 1, 0, 0, 0, 0, 0, 0, 97, 21, 160, 137.75
Adam Lowry, Healthy, Wpg, C, FA, 77, 11, 21, 3, 41, 0, 2, 3, 2, 2, 542, 546, 0, 114, 154, 45, 137.6
Nicholas Paul, Healthy, TB, C- LW, FA, 75, 17, 15, 12, 31, 4, 0, 1, 0, 4, 464, 402, 0, 111, 106, 44, 137.5
Josh Anderson, O, Mon, RW, FA, 69, 21, 11, -8, 72, 4, 0, 1, 0, 5, 19, 25, 0, 164, 139, 49, 137.3
Jake Sanderson, Healthy, Ott, D, FA, 72, 4, 25, -9, 8, 2, 14, 0, 0, 0, 0, 0, 0, 119, 42, 136, 137.2
Shea Theodore, DTD, Vgk, D, ME, 54, 8, 33, 17, 18, 2, 7, 0, 0, 2, 0, 0, 0, 134, 16, 84, 137.15
Dylan Strome, Healthy, Wsh, C- LW, FA, 76, 19, 39, -5, 24, 3, 16, 0, 0, 2, 491, 505, 0, 143, 20, 38, 137.0
Connor Murphy, Healthy, Chi, D, FA, 74, 6, 5, -8, 67, 0, 0, 2, 0, 0, 0, 0, 0, 78, 152, 144, 136.2
Alexis Lafreniere, Healthy, NYR, LW- RW, CLB, 76, 16, 22, 10, 31, 3, 1, 0, 0, 2, 28, 45, 0, 129, 137, 26, 135.95
Ross Colton, Healthy, TB, LW- C, FA, 76, 16, 14, -7, 33, 4, 5, 0, 0, 3, 102, 78, 0, 143, 179, 26, 135.85
Brady Skjei, Healthy, Car, D, FA, 75, 17, 17, 13, 38, 3, 3, 1, 0, 3, 0, 0, 0, 172, 67, 60, 135.75
Jake Middleton, Healthy, Min, D, FA, 73, 3, 12, 17, 72, 0, 0, 0, 1, 0, 0, 0, 0, 76, 106, 139, 134.95
David Savard, O, Mon, D, OXP, 62, 3, 17, -14, 40, 0, 0, 0, 1, 1, 0, 0, 0, 63, 61, 176, 134.85
Blake Coleman, Healthy, Cgy, LW- RW, FA, 77, 18, 19, 9, 50, 0, 0, 2, 0, 2, 20, 21, 0, 172, 102, 38, 134.7
Nick Seeler, Healthy, Phi, D, FA, 73, 4, 9, 2, 52, 0, 0, 0, 1, 0, 0, 0, 0, 80, 123, 143, 134.45
Morgan Rielly, Healthy, Tor, D, CLB, 60, 4, 36, -6, 13, 1, 16, 0, 0, 1, 0, 0, 0, 116, 65, 80, 134.3
Valeri Nichushkin, Healthy, Col, RW- LW, DINK, 46, 17, 27, 12, 2, 10, 5, 1, 2, 2, 0, 4, 0, 137, 49, 30, 134.05
Tomas Tatar, Healthy, NJ, LW- RW, FA, 77, 17, 25, 37, 28, 1, 2, 0, 0, 0, 16, 24, 0, 142, 60, 28, 133.6
Dominik Kubalik, Healthy, Det, LW- RW, FA, 75, 20, 24, -8, 24, 7, 9, 0, 0, 3, 17, 17, 0, 167, 85, 26, 133.55
Evan Bouchard, Healthy, Edm, D, FA, 77, 6, 29, 0, 28, 1, 10, 0, 1, 0, 0, 0, 0, 150, 93, 68, 133.35
Will Borgen, Healthy, Sea, D, FA, 75, 2, 16, 5, 35, 0, 0, 0, 0, 1, 0, 0, 0, 70, 190, 82, 133.0
Dylan DeMelo, Healthy, Wpg, D, FA, 70, 5, 20, 6, 44, 0, 0, 1, 2, 0, 0, 0, 0, 87, 115, 96, 132.3
Shayne Gostisbehere, Healthy, Car, D, FA, 69, 12, 26, -8, 28, 5, 10, 2, 0, 1, 0, 0, 0, 145, 43, 81, 132.1
Jamie Oleksiak, Healthy, Sea, D, FA, 68, 9, 13, 7, 63, 0, 0, 0, 0, 2, 0, 0, 0, 69, 120, 104, 131.6
Ryan McDonagh, Healthy, Nsh, D, FA, 64, 2, 16, 16, 18, 0, 0, 0, 0, 1, 0, 0, 0, 69, 58, 144, 131.5
Aaron Ekblad, Healthy, Fla, D, SALT, 66, 12, 22, -13, 64, 6, 10, 1, 0, 2, 1, 0, 0, 201, 72, 74, 131.4
Kevin Hayes, Healthy, Phi, C, FA, 75, 17, 36, -18, 23, 6, 10, 0, 0, 1, 315, 313, 1, 197, 52, 21, 131.2
Dillon Dube, Healthy, Cgy, C- LW, FA, 77, 18, 24, -7, 45, 1, 3, 2, 0, 3, 41, 54, 0, 140, 127, 19, 130.55
Barrett Hayton, Healthy, Ari, C- LW, FA, 77, 17, 24, -1, 38, 4, 6, 0, 1, 3, 582, 570, 0, 167, 79, 32, 130.55
Jordan Eberle, Healthy, Sea, RW- LW, FA, 75, 16, 39, 2, 32, 2, 10, 0, 0, 2, 33, 42, 0, 165, 35, 21, 130.4
Eetu Luostarinen, Healthy, Fla, C- LW, FA, 77, 16, 25, 19, 26, 1, 3, 0, 1, 2, 172, 239, 0, 124, 62, 51, 130.2
Samuel Girard, Healthy, Col, D, FA, 69, 6, 27, -14, 16, 1, 7, 0, 1, 1, 0, 0, 0, 108, 63, 105, 130.1
Jakob Chychrun, O, Ott, D, ME, 48, 9, 24, 7, 30, 4, 4, 0, 0, 0, 0, 0, 0, 144, 55, 83, 129.9
Erik Gustafsson, DTD, Tor, D, SLC, 69, 7, 32, 8, 23, 0, 11, 0, 0, 2, 0, 0, 1, 121, 52, 63, 129.65
Cam Fowler, Healthy, Ana, D, FA, 77, 10, 34, -20, 12, 4, 9, 0, 0, 1, 0, 0, 0, 123, 17, 94, 129.45
Nicolas Hague, Healthy, Vgk, D, FA, 75, 3, 13, 4, 34, 0, 0, 0, 0, 1, 0, 0, 0, 96, 109, 124, 129.4
Nick Schmaltz, Healthy, Ari, C- RW, FA, 58, 21, 33, 6, 16, 6, 6, 0, 1, 2, 37, 58, 1, 117, 12, 28, 129.35
Vladimir Tarasenko, Healthy, NYR, RW, OXP, 64, 17, 28, -12, 8, 2, 9, 1, 0, 1, 1, 2, 0, 158, 74, 34, 129.35
Jonathan Huberdeau, Healthy, Cgy, LW, LKR, 74, 15, 36, -3, 32, 4, 10, 0, 0, 1, 5, 10, 0, 118, 64, 27, 128.8
Max Domi, Healthy, Dal, C- LW- RW, FA, 74, 20, 35, -13, 80, 8, 11, 0, 0, 4, 494, 422, 0, 169, 21, 19, 128.65
Jeremy Lauzon, DTD, Nsh, D, FA, 67, 3, 9, -11, 66, 0, 0, 0, 1, 0, 0, 0, 0, 77, 250, 75, 128.35
Nick Bjugstad, Healthy, Edm, C- RW, FA, 73, 16, 12, 10, 30, 1, 0, 1, 0, 0, 498, 549, 0, 133, 157, 39, 128.3
Ian Cole, Healthy, TB, D, FA, 73, 3, 14, 12, 57, 0, 0, 0, 0, 0, 0, 0, 0, 105, 108, 116, 128.2
Filip Forsberg, IR, Nsh, LW, CLB, 50, 19, 23, -4, 20, 4, 9, 0, 0, 2, 0, 1, 1, 157, 86, 20, 128.15
Patrik Laine, O, Cls, RW- LW, SLC, 55, 22, 30, -12, 16, 8, 8, 0, 0, 1, 28, 52, 1, 184, 27, 27, 128.0
Brett Pesce, Healthy, Car, D, FA, 76, 4, 25, 14, 41, 1, 3, 0, 2, 2, 0, 0, 0, 134, 33, 103, 127.95
Troy Terry, O, Ana, C- RW, FA, 66, 21, 35, -7, 22, 5, 7, 0, 0, 3, 1, 0, 0, 174, 12, 21, 127.65
Sammy Blais, Healthy, StL, LW- RW, FA, 66, 8, 15, 3, 24, 0, 1, 0, 0, 1, 2, 5, 0, 66, 225, 30, 127.65
Michael McLeod, Healthy, NJ, C, FA, 77, 4, 20, 3, 41, 0, 0, 0, 1, 1, 565, 362, 0, 83, 124, 49, 127.45
Brock Boeser, Healthy, Van, RW, OXP, 68, 17, 36, -17, 22, 5, 10, 0, 0, 3, 20, 29, 0, 150, 41, 31, 127.2
Tony DeAngelo, Healthy, Phi, D, FA, 69, 11, 31, -26, 73, 4, 15, 0, 0, 1, 0, 0, 0, 171, 51, 79, 126.85
Casey Cizikas, Healthy, NYI, C, FA, 77, 5, 15, -1, 54, 0, 0, 0, 2, 0, 477, 414, 0, 106, 180, 55, 126.5
Simon Benoit, Healthy, Ana, D, FA, 73, 3, 6, -28, 58, 0, 0, 0, 0, 0, 0, 0, 0, 78, 206, 123, 126.3
Brett Kulak, Healthy, Edm, D, FA, 77, 3, 17, 15, 41, 0, 0, 0, 3, 0, 0, 0, 0, 110, 98, 97, 126.05
Damon Severson, Healthy, NJ, D, FA, 76, 6, 24, 7, 38, 1, 3, 0, 0, 2, 0, 0, 0, 95, 42, 106, 126.05
Gabriel Vilardi, DTD, LA, C- RW, FA, 63, 23, 18, 10, 18, 5, 4, 0, 0, 6, 53, 60, 0, 122, 41, 33, 126.0
Marc Staal, Healthy, Fla, D, FA, 77, 3, 10, 7, 28, 0, 0, 0, 0, 0, 0, 0, 0, 50, 142, 113, 125.8
Nic Dowd, Healthy, Wsh, C, FA, 63, 13, 12, 8, 26, 0, 0, 0, 1, 3, 421, 395, 0, 60, 129, 58, 125.45
Matt Grzelcyk, Healthy, Bos, D, FA, 70, 4, 22, 47, 28, 0, 0, 0, 0, 2, 0, 0, 0, 97, 45, 77, 125.4
Seth Jarvis, Healthy, Car, C- RW, FA, 76, 13, 21, 12, 12, 0, 4, 1, 0, 0, 9, 16, 1, 172, 68, 44, 125.2
Mathew Barzal, O, NYI, C, HERB, 58, 14, 37, 7, 22, 3, 15, 0, 0, 5, 104, 188, 0, 139, 25, 34, 125.05
Cody Ceci, Healthy, Edm, D, FA, 77, 1, 13, 7, 24, 0, 0, 0, 0, 0, 0, 0, 0, 84, 134, 107, 124.7
Patrick Kane, Healthy, NYR, RW, FA, 70, 21, 34, -22, 16, 4, 17, 0, 0, 1, 1, 1, 1, 221, 13, 18, 124.65
Oliver Bjorkstrand, Healthy, Sea, RW, FA, 75, 18, 23, 1, 14, 4, 5, 0, 0, 1, 16, 38, 0, 185, 53, 37, 124.55
Morgan Frost, Healthy, Phi, C- RW, FA, 75, 18, 24, -11, 24, 1, 4, 0, 0, 3, 395, 465, 0, 142, 82, 48, 124.4
Nick Ritchie, Healthy, Cgy, LW, FA, 70, 13, 13, -17, 51, 4, 6, 0, 0, 2, 2, 10, 0, 106, 207, 30, 124.3
Trevor Zegras, Healthy, Ana, C, FA, 76, 22, 38, -24, 70, 4, 11, 0, 0, 3, 223, 318, 0, 178, 40, 28, 124.05
Jesperi Kotkaniemi, Healthy, Car, C- LW, FA, 76, 15, 22, 11, 48, 3, 7, 1, 0, 2, 343, 313, 0, 112, 98, 21, 124.05
Andrew Mangiapane, Healthy, Cgy, LW- RW, FA, 77, 16, 22, 8, 40, 2, 2, 0, 2, 1, 5, 8, 0, 173, 83, 26, 123.9
Nikita Zadorov, Healthy, Cgy, D, FA, 77, 10, 6, 7, 78, 0, 1, 0, 0, 1, 0, 0, 0, 118, 165, 73, 123.75
Jaccob Slavin, Healthy, Car, D, ME, 70, 7, 19, 14, 8, 0, 0, 0, 1, 1, 0, 0, 0, 126, 34, 100, 123.25
Trent Frederic, Healthy, Bos, C- LW, FA, 74, 16, 14, 26, 57, 0, 0, 0, 1, 6, 20, 38, 0, 111, 95, 35, 122.35
Travis Sanheim, Healthy, Phi, D, FA, 75, 7, 15, -6, 40, 0, 1, 1, 0, 1, 0, 0, 0, 103, 59, 125, 122.25
Filip Chytil, Healthy, NYR, RW- C, FA, 69, 22, 22, 18, 30, 3, 2, 0, 0, 4, 234, 359, 0, 161, 36, 36, 121.4
Matt Benning, Healthy, SJ, D, FA, 71, 1, 23, -15, 26, 0, 1, 0, 1, 0, 0, 0, 0, 55, 98, 117, 120.8
Frederick Gaudreau, Healthy, Min, C- LW, FA, 76, 16, 19, 10, 10, 2, 1, 4, 1, 3, 461, 469, 0, 128, 41, 46, 120.8
Keegan Kolesar, Healthy, Vgk, RW, FA, 68, 7, 9, 6, 68, 0, 0, 0, 0, 0, 8, 16, 0, 59, 258, 29, 120.7
T.J. Oshie, O, Wsh, RW, BOWS, 58, 19, 16, -18, 59, 9, 2, 0, 0, 2, 83, 97, 0, 126, 125, 34, 119.8
Adam Pelech, Healthy, NYI, D, FA, 57, 5, 14, 15, 36, 0, 0, 0, 1, 0, 0, 0, 0, 84, 74, 106, 119.25
Jeff Carter, Healthy, Pit, C- RW, FA, 74, 12, 15, -18, 28, 4, 5, 0, 1, 2, 520, 354, 0, 132, 79, 50, 119.2
Jake Walman, Healthy, Det, D, FA, 57, 9, 7, 16, 39, 0, 1, 0, 0, 2, 0, 0, 0, 126, 44, 117, 119.15
William Carrier, O, Vgk, LW, FA, 56, 16, 9, 15, 30, 0, 0, 0, 0, 7, 1, 7, 0, 118, 133, 22, 119.1
Stefan Noesen, Healthy, Car, RW- LW, FA, 73, 12, 21, 13, 26, 7, 7, 0, 0, 4, 44, 42, 0, 126, 96, 17, 118.75
Evgeny Kuznetsov, Healthy, Wsh, C, FA, 76, 12, 42, -19, 56, 5, 13, 0, 0, 2, 472, 512, 0, 165, 41, 28, 118.45
Ryan Suter, Healthy, Dal, D, FA, 76, 3, 20, -4, 24, 0, 4, 0, 1, 1, 0, 0, 0, 86, 79, 103, 118.15
Nick Foligno, IR, Bos, LW- RW, FA, 60, 10, 16, 18, 45, 2, 3, 0, 0, 1, 40, 32, 0, 71, 147, 29, 117.75
Anthony Beauvillier, Healthy, Van, LW- RW, FA, 76, 17, 21, -7, 24, 3, 0, 0, 0, 5, 2, 7, 0, 171, 68, 29, 117.6
Timothy Liljegren, Healthy, Tor, D, FA, 62, 5, 12, 22, 30, 0, 1, 1, 1, 0, 0, 0, 0, 76, 98, 85, 117.5
Mikael Granlund, Healthy, Pit, LW- C- RW, FA, 74, 10, 30, -14, 18, 1, 11, 0, 0, 1, 168, 208, 0, 113, 74, 55, 117.45
Erik Gudbranson, O, Cls, D, FA, 70, 1, 12, -25, 57, 0, 0, 0, 0, 1, 0, 0, 0, 102, 119, 137, 117.2
Kevin Shattenkirk, Healthy, Ana, D, FA, 70, 4, 21, -18, 54, 1, 7, 0, 0, 0, 0, 0, 0, 138, 77, 105, 116.75
Eeli Tolvanen, Healthy, Sea, LW, FA, 54, 17, 12, 4, 14, 4, 2, 0, 0, 4, 2, 7, 0, 104, 82, 46, 116.6
Marcus Foligno, Healthy, Min, LW- RW, FA, 59, 7, 13, -7, 64, 0, 3, 0, 0, 0, 6, 7, 0, 75, 217, 37, 115.35
Olli Maatta, Healthy, Det, D, FA, 72, 6, 15, -8, 14, 0, 0, 0, 0, 0, 0, 0, 0, 59, 71, 118, 115.3
Juuso Valimaki, Healthy, Ari, D, FA, 73, 4, 29, -8, 57, 1, 11, 0, 0, 1, 0, 0, 0, 87, 49, 91, 114.95
Michael Rasmussen, IR, Det, C- LW, FA, 56, 10, 19, 2, 43, 0, 1, 0, 0, 0, 203, 195, 0, 88, 119, 48, 114.75
Taylor Raddysh, Healthy, Chi, RW, FA, 76, 20, 17, -27, 16, 7, 8, 0, 0, 1, 10, 9, 1, 123, 80, 38, 114.3
Owen Power, Healthy, Buf, D, SLC, 72, 4, 27, 9, 24, 0, 7, 0, 1, 1, 0, 0, 0, 115, 25, 82, 114.1
Taylor Hall, IR, Bos, LW, FA, 58, 16, 20, 12, 24, 4, 4, 0, 0, 5, 4, 5, 0, 143, 34, 32, 114.0
Mario Ferraro, Healthy, SJ, D, FA, 66, 4, 7, -26, 24, 0, 1, 0, 0, 0, 1, 1, 0, 61, 124, 134, 113.65
Conor Sheary, Healthy, Wsh, LW- RW, FA, 77, 15, 20, 6, 22, 2, 5, 2, 0, 1, 20, 18, 0, 147, 54, 33, 113.65
Noah Cates, Healthy, Phi, LW, FA, 76, 12, 23, 7, 12, 2, 4, 1, 1, 5, 385, 598, 0, 92, 85, 61, 113.45
Blake Lizotte, Healthy, LA, C, FA, 76, 11, 22, 13, 68, 0, 0, 0, 2, 1, 387, 368, 0, 103, 85, 37, 113.4
"Logan OConnor", Healthy, Col, RW- LW, FA, 75, 9, 17, 12, 37, 0, 0, 2, 1, 0, 2, 10, 0, 95, 111, 45, 113.05
Colin Miller, Healthy, Dal, D, FA, 73, 4, 14, 19, 35, 1, 0, 0, 0, 2, 0, 0, 0, 94, 104, 69, 112.6
Barclay Goodrow, Healthy, NYR, RW- C- LW, FA, 77, 11, 17, 0, 58, 1, 1, 0, 1, 2, 250, 301, 0, 86, 111, 61, 112.5
Ty Dellandrea, Healthy, Dal, C- RW, FA, 76, 8, 19, 9, 52, 0, 0, 0, 3, 2, 97, 88, 0, 83, 119, 38, 111.95
Marcus Johansson, Healthy, Min, LW- C- RW, FA, 75, 16, 24, 4, 8, 4, 12, 1, 0, 6, 20, 28, 0, 126, 26, 22, 111.8
Joel Farabee, Healthy, Phi, LW- RW, FA, 76, 13, 23, 0, 41, 0, 2, 0, 0, 1, 16, 27, 0, 129, 70, 42, 111.7
Shane Pinto, Healthy, Ott, C, FA, 77, 20, 13, -19, 18, 5, 3, 0, 0, 2, 416, 388, 0, 144, 68, 41, 111.55
Jonas Brodin, Healthy, Min, D, FA, 56, 2, 11, 15, 26, 0, 0, 0, 2, 0, 0, 0, 0, 84, 49, 123, 111.5
Jason Dickinson, Healthy, Chi, C- LW, FA, 72, 9, 19, -25, 28, 1, 0, 0, 4, 1, 349, 377, 0, 105, 107, 72, 111.5
Joel Edmundson, Healthy, Mon, D, FA, 56, 2, 9, -22, 43, 0, 0, 0, 0, 0, 0, 0, 0, 65, 109, 140, 111.4
Tyler Myers, Healthy, Van, D, FA, 72, 1, 15, -14, 72, 0, 0, 0, 1, 0, 0, 0, 0, 96, 84, 131, 111.35
Yakov Trenin, Healthy, Nsh, C- LW, FA, 70, 11, 11, 1, 43, 0, 1, 2, 0, 2, 13, 20, 0, 122, 155, 28, 110.95
Daniel Sprong, Healthy, Sea, RW- LW, FA, 59, 20, 20, 11, 12, 6, 5, 0, 0, 3, 1, 2, 0, 130, 26, 17, 110.75
Radek Faksa, Healthy, Dal, C, FA, 75, 11, 7, 8, 37, 0, 0, 1, 1, 3, 286, 224, 0, 83, 82, 68, 110.65
Nico Sturm, Healthy, SJ, C, FA, 68, 14, 12, -9, 21, 0, 0, 1, 0, 1, 442, 351, 0, 114, 93, 41, 110.3
Jack Roslovic, DTD, Cls, C, FA, 71, 10, 33, -9, 10, 2, 7, 2, 1, 2, 375, 455, 0, 114, 38, 48, 110.3
Wade Allison, Healthy, Phi, RW, FA, 54, 8, 6, 1, 36, 0, 0, 0, 0, 2, 1, 4, 0, 77, 170, 55, 109.8
Nicolas Roy, Healthy, Vgk, C- RW, FA, 59, 13, 16, 10, 24, 2, 3, 0, 1, 5, 332, 370, 0, 93, 79, 41, 109.8
Alex Iafallo, Healthy, LA, LW, FA, 54, 14, 21, 14, 18, 7, 1, 0, 0, 5, 6, 4, 0, 124, 24, 33, 109.75
Alexander Barabanov, O, SJ, LW- RW, FA, 68, 15, 32, -30, 20, 3, 10, 0, 0, 2, 1, 2, 0, 120, 40, 37, 109.4
Dakota Joshua, Healthy, Van, C, FA, 73, 11, 10, -15, 58, 1, 0, 1, 0, 2, 23, 20, 0, 67, 204, 28, 109.4
Ryan Lindgren, O, NYR, D, FA, 58, 1, 17, 28, 43, 0, 0, 1, 1, 0, 0, 0, 0, 70, 64, 88, 109.15
Jordan Martinook, Healthy, Car, RW- LW, FA, 76, 12, 20, 5, 53, 0, 0, 1, 1, 2, 29, 37, 1, 152, 73, 31, 108.75
Carson Soucy, Healthy, Sea, D, FA, 72, 2, 11, 13, 53, 0, 0, 0, 0, 0, 0, 0, 0, 82, 134, 77, 108.6
Mike Matheson, Healthy, Mon, D, FA, 43, 8, 21, 3, 31, 0, 9, 0, 0, 2, 0, 0, 0, 111, 51, 64, 108.55
Caleb Jones, Healthy, Chi, D, FA, 67, 4, 11, -20, 36, 1, 3, 0, 0, 1, 0, 0, 0, 79, 108, 110, 108.45
Derek Forbort, O, Bos, D, FA, 54, 5, 7, 13, 23, 0, 0, 2, 0, 2, 0, 0, 0, 38, 106, 88, 108.3
Kirby Dach, O, Mon, C- RW, FA, 58, 14, 24, -2, 43, 6, 10, 0, 2, 2, 87, 140, 0, 107, 53, 38, 108.0
Nicolas Deslauriers, Healthy, Phi, LW- RW, FA, 74, 6, 6, -10, 131, 0, 0, 1, 0, 0, 2, 7, 0, 66, 285, 25, 108.0
Calle Jarnkrok, Healthy, Tor, C- LW- RW, FA, 69, 19, 18, 11, 14, 1, 1, 1, 2, 2, 41, 50, 0, 103, 49, 19, 107.95
Andrew Copp, Healthy, Det, C- LW- RW, FA, 76, 9, 33, 2, 23, 1, 4, 1, 0, 2, 588, 617, 0, 109, 29, 41, 107.9
Mark Stone, IR, Vgk, RW, DINK, 43, 17, 21, 11, 10, 3, 6, 2, 0, 1, 0, 3, 0, 113, 31, 23, 107.8
Jimmy Vesey, Healthy, NYR, LW- RW, FA, 76, 10, 14, 11, 20, 0, 0, 1, 0, 3, 4, 14, 0, 119, 96, 39, 107.7
Vladislav Gavrikov, Healthy, LA, D, FA, 67, 4, 12, 2, 38, 0, 0, 0, 1, 2, 0, 0, 0, 78, 68, 107, 107.65
Dmitry Kulikov, IR, Pit, D, FA, 65, 3, 13, -10, 30, 0, 0, 0, 0, 0, 0, 0, 0, 82, 93, 107, 107.1
Kasperi Kapanen, Healthy, StL, RW, FA, 61, 14, 18, -7, 12, 3, 3, 1, 0, 4, 22, 38, 1, 107, 98, 18, 107.05
John Carlson, Healthy, Wsh, D, ME, 35, 9, 17, -2, 8, 3, 7, 1, 0, 0, 0, 0, 0, 115, 37, 76, 106.55
Mason Marchment, O, Dal, LW- RW, FA, 67, 12, 19, -6, 80, 2, 3, 0, 0, 2, 10, 15, 0, 148, 88, 39, 105.45
Adam Erne, Healthy, Det, LW- RW, FA, 57, 8, 10, -9, 21, 0, 0, 0, 1, 2, 11, 14, 0, 51, 158, 52, 105.35
Matt Dumba, Healthy, Min, D, FA, 74, 4, 10, -4, 77, 0, 0, 0, 0, 2, 0, 0, 0, 90, 95, 105, 105.3
Chris Tanev, DTD, Cgy, D, FA, 61, 1, 12, 5, 17, 0, 1, 0, 0, 1, 0, 0, 0, 65, 47, 125, 105.15
Ryan Hartman, Healthy, Min, RW- C, FA, 54, 14, 20, 6, 84, 1, 3, 1, 1, 6, 215, 291, 0, 135, 57, 41, 105.1
Kaapo Kakko, Healthy, NYR, RW, FA, 77, 16, 22, 12, 8, 0, 3, 0, 0, 2, 1, 3, 0, 115, 25, 26, 104.75
Alexander Kerfoot, Healthy, Tor, C- LW- RW, FA, 76, 9, 22, 6, 24, 2, 1, 1, 1, 1, 62, 75, 0, 125, 51, 45, 104.6
Christian Fischer, Healthy, Ari, RW- LW, FA, 75, 12, 14, -7, 20, 0, 1, 1, 0, 0, 8, 37, 0, 118, 123, 36, 104.55
Dante Fabbro, Healthy, Nsh, D, FA, 72, 1, 9, 2, 46, 0, 1, 0, 0, 0, 0, 0, 0, 89, 96, 109, 104.35
Conor Garland, Healthy, Van, RW- LW, FA, 75, 14, 27, -5, 29, 1, 9, 0, 0, 1, 3, 7, 0, 155, 41, 20, 104.25
Alexander Edler, DTD, LA, D, FA, 64, 2, 9, -1, 34, 0, 0, 0, 0, 1, 0, 0, 0, 56, 106, 104, 104.0
Niko Mikkola, Healthy, NYR, D, FA, 76, 0, 5, 6, 56, 0, 0, 0, 0, 0, 0, 0, 0, 57, 145, 98, 103.1
Kyle Palmieri, Healthy, NYI, RW, FA, 51, 15, 16, 11, 20, 3, 2, 0, 0, 3, 9, 15, 0, 111, 73, 16, 102.9
Josh Brown, Healthy, Ari, D, FA, 63, 4, 3, -13, 66, 0, 0, 0, 0, 0, 0, 0, 0, 61, 143, 109, 102.9
Jaden Schwartz, Healthy, Sea, LW- RW, FA, 66, 19, 19, -15, 22, 5, 2, 0, 0, 2, 65, 75, 0, 158, 51, 22, 102.9
Mason McTavish, Healthy, Ana, C, BOWS, 76, 16, 26, -18, 42, 6, 7, 0, 0, 1, 285, 395, 0, 156, 55, 36, 102.65
Teuvo Teravainen, DTD, Car, RW- LW, FA, 63, 12, 24, 11, 16, 5, 6, 2, 1, 2, 33, 17, 1, 134, 14, 17, 102.35
John Klingberg, Healthy, Min, D, FA, 61, 9, 21, -24, 34, 1, 6, 0, 0, 3, 0, 0, 0, 100, 55, 73, 102.1
